Date,Rating,Title,Review
"November 22, 2019",3,Charles was a great help but the wait…,Charles was a great help but the wait time was too long both waiting to get on chat and response time
"November 22, 2019",5,Excellent customer service,Excellent customer service. Live chat made it so much more easy.My favourite place to online shop
"November 22, 2019",1,Poor customer service with premium delivery,"ordered an outfit for an event on 11-9 with expected delivery date 11-12.  never got it.  contacted ""customer service"" was given a new delivery date of 11-21-19 after paying for ""premier"" delivery.  still no package 11-21, no clothes for the event.  would only give me a refund no kind of compensation for the inconvenience or aggravation.   very disheartening after all the money I have spent never looked for anything or ever had a complaint until I was done what I feel is treated poorly.  never ever ever ever again will I spend another dime here!!!  I will shop shein for now on!"
"November 22, 2019",5,Very quick to respond,Very quick to respond. Super accommodating.
"November 22, 2019",2,It took forever to get in contact with…,It took forever to get in contact with someone from customer service and then they tried to charge me extra to order a new item even though they accidentally sent me the wrong thing
"November 22, 2019",1,I have been dealing with this issue for…,I have been dealing with this issue for the past 4 weeks. I am a loyal ASOS customer & this entire situation was uncalled-for. You all need a better way of tracking your items sent out to customers and a better way to keep track of pre-paid return labels.
"November 22, 2019",5,very nice customer,"Trust and solve my problem quickly, many thsnks."
"November 22, 2019",5,Robyn was very helpful and resolved my…,Robyn was very helpful and resolved my issue quickly
"November 22, 2019",5,helpful and answered my concern…,helpful and answered my concern straight away
"November 22, 2019",4,My most recent interaction with Roheel…,My most recent interaction with Roheel appears to have gone well.  I was promised a replacement for my shipment which never arrived. I would feel better if I had received a confirmation number. I'm just not happy I had to wait so long for resolution
"November 22, 2019",1,"Missing items, but replaced through live chat","EDIT:I placed an order for 2 shoes, 2 shirts, and 1 jacket. I only received 2 shoes and everything else was missing. Turns out whoever shipped my stuff out did not seal the bag because the plastic covering the adhesive was still there. I was promised a replacement for my missing items, and it took 48 hours to get a reply, by then they tell me the items went out of stock in my size but were able to ship 1 shirt that went missing. I check if the other 2 items were out of stock and they weren't. Turns out they don't want to replace those 2 other missing items because they weren't on sale anymore so instead they ship out the only item that was still on sale. Rediculous."
"November 22, 2019",5,Thanks for help Rekyha from ASOS…,Thanks for help Rekyha from ASOS Customer Care Team!
"November 22, 2019",5,The customer care chat was very quick…,The customer care chat was very quick and responsive in getting me my refund. I'm awaiting an email to get the full refund but so far the service provided by Robyn has been amazing.
